No Urut,Kode - MK,Mata Kuliah,KELAS,Hari,Jam,Ruang
1,005032,KULIAH KERJA NYATA,R,Sabtu,13:40 - 15:20,STATION 11
2,14624313,KEAMANAN KOMPUTER,S,Senin,19:15 - 20:45,Q301
3,14624413,PENGEMBANGAN APLIKASI BERGERAK,S,Selasa,19:15 - 21:30,Q502
4,14624423,PENGUJIAN PERANGKAT LUNAK,S,Selasa,17:00 - 19:15,Q501
5,14624452,DESAIN DAN PENGEMBANGAN GIM,S,Rabu,19:15 - 20:45,Q802
6,14624462,VISUALISASI DATA,S,Rabu,17:45 - 19:15,Q601
7,14624472,KECERDASAN BISNIS,R,Kamis,17:45 - 19:15,Q304
8,14624482,DESAIN PENGALAMAN PENGGUNA,S,Senin,17:45 - 19:15,Q802
9,14624492,KERJA PRAKTIK,R,Sabtu,17:00 - 18:30,Q301
